Panjang,Lebar,Daun
"16,5","1,3",Daun palem
"16,5","1,6",Daun palem
"27,7","1,1",Daun palem
25,"1,1",Daun palem
"23,6","1,1",Daun palem
"26,2","1,1",Daun palem
"26,6","1,1",Daun palem
"25,5","1,2",Daun palem
"27,7","1,2",Daun palem
"23,2",1,Daun palem
17,6,Daun jambu
"15,5",5,Daun jambu
"23,1","8,1",Daun jambu
21,"6,9",Daun jambu
"11,9",6,Daun jambu
13,"6,8",Daun jambu
"13,6","6,6",Daun jambu
"11,4","6,3",Daun jambu
5,"4,2",Daun jambu
13,"5,8",Daun jambu
13,"2,6",Sunflower
"12,5","2,8",Sunflower
"15,2","3,4",Sunflower
"12,2","2,2",Sunflower
"11,3","2,2",Sunflower
"11,5","2,2",Sunflower
"13,3","2,7",Sunflower
15,3,Sunflower
"11,5","2,7",Sunflower
15,"3,3",Sunflower
"16,2","5,3",Tanjung
16,"5,9",Tanjung
"13,4","4,8",Tanjung
"15,1","6,1",Tanjung
"15,5","5,4",Tanjung
"16,3","5,1",Tanjung
15,"5,5",Tanjung
"15,6","5,2",Tanjung
"11,1","4,9",Tanjung
"15,9","4,8",Tanjung
"10,6","6,6",Sirih Gading
"8,8","5,3",Sirih Gading
"8,7","5,6",Sirih Gading
"9,4","5,8",Sirih Gading
"8,7","5,8",Sirih Gading
"9,3","6,2",Sirih Gading
"9,3","6,9",Sirih Gading
"10,5","6,7",Sirih Gading
"10,5","6,8",Sirih Gading
"11,1","6,8",Sirih Gading
"4,2",2,Zimokolus
"5,8","2,7",Zimokolus
"6,9",3,Zimokolus
"6,4","2,8",Zimokolus
"6,3","2,6",Zimokolus
"6,6","2,7",Zimokolus
"6,2","2,7",Zimokolus
"6,4","2,7",Zimokolus
"6,3","2,6",Zimokolus
"6,5","3,1",Zimokolus
"7,9","2,5",Kamboja
9,3,Kamboja
"8,8","2,7",Kamboja
"9,8","3,1",Kamboja
"11,1","4,2",Kamboja
"10,5","4,1",Kamboja
"10,2","3,7",Kamboja
12,"4,5",Kamboja
"11,9","4,9",Kamboja
"11,2",4,Kamboja
"5,9","2,8",Paku
"5,5","2,7",Paku
"6,4","2,7",Paku
4,"3,4",Paku
"6,5","3,4",Paku
"6,8","3,1",Paku
"8,9","3,5",Paku
9,"3,2",Paku
"8,6","3,5",Paku
"9,5",5,Paku
"9,5",4,Ketapang
"9,2",4,Ketapang
"8,1","3,8",Ketapang
"9,2","4,2",Ketapang
"8,8","4,5",Ketapang
11,"4,7",Ketapang
"11,1",5,Ketapang
11,"5,1",Ketapang
11,"5,2",Ketapang
"10,6",6,Ketapang
"7,5","1,2",Bambu
16,"1,6",Bambu
"9,8","1,9",Bambu
"11,5",2,Bambu
13,"1,9",Bambu
"15,9","2,3",Bambu
18,"2,1",Bambu
"18,5","2,6",Bambu
15,"2,5",Bambu
20,"2,8",Bambu
"20,5","9,2",Mangga
"19,5","8,2",Mangga
"23,5","10,1",Mangga
"21,2","8,5",Mangga
"20,8","9,4",Mangga
"21,6",9,Mangga
"23,1","9,6",Mangga
"17,5","8,32",Mangga
"23,8","9,2",Mangga
"24,6","10,3",Mangga
"13,9","7,2",Nangka
"13,1","6,2",Nangka
"13,6","6,5",Nangka
"11,2","5,3",Nangka
"12,5","4,8",Nangka
"12,3","5,6",Nangka
"14,1","6,2",Nangka
"13,7","6,6",Nangka
"13,7","6,7",Nangka
14,7,Nangka
"9,8","6,5",Rambutan
"10,2","6,5",Rambutan
"9,8","6,5",Rambutan
"11,5","5,5",Rambutan
"12,4","6,4",Rambutan
12,"6,4",Rambutan
"12,3","6,3",Rambutan
12,"7,1",Rambutan
14,"6,9",Rambutan
"14,4",7,Rambutan
"6,1","11,2",Singkong
"7,5","13,7",Singkong
8,"14,5",Singkong
"9,3","14,8",Singkong
"7,4","14,1",Singkong
"6,3","12,2",Singkong
"8,2","14,6",Singkong
"10,2","15,3",Singkong
"9,8","15,2",Singkong
"7,4","13,4",Singkong
"2,5","1,2",Bayam Liar
"3,6","1,5",Bayam Liar
4,2,Bayam Liar
"5,1","2,2",Bayam Liar
"4,5","2,2",Bayam Liar
"3,3","1,3",Bayam Liar
"4,5","2,3",Bayam Liar
"3,2","1,1",Bayam Liar
"5,2","2,4",Bayam Liar
"5,3","2,7",Bayam Liar
